Cohort_Position,True_Family,Predicted_Family,ATTACK_Candidate_ID,ATTACK_Candidate_Name,Aggregated_Evidence_Level,Supporting_Feature_Count,Supporting_Features,Candidate_Positive_SHAP,Candidate_Normalized_SHAP_Support
2,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08102012425661087,0.014194189800219243
8,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08102338016033173,0.014209229319208962
16,Benign,Benign,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pslist_false_avg,0.07131194323301315,0.01321432820126711
16,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4299573749303818,0.0796724588800026
19,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.07062225788831711,0.012354877607787959
22,Benign,Benign,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pslist_false_avg,0.05671525374054909,0.01084692228369097
22,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4346122443675995,0.08312058797729395
23,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.0701364129781723,0.012284393434599401
24,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08102338016033173,0.014214750981483924
28,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.43271419405937195,0.0809864979047917
29,Benign,Benign,T1014,Rootkit,MEDIUM_CANDIDATE,1,psxview.not_in_pslist_false_avg,0.07131194323301315,0.012895283557381915
29,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.4258359968662262,0.0770035940626037
32,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08534332364797592,0.015082156237332688
33,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08102012425661087,0.014189928108952017
34,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08485908061265945,0.015032225915034917
39,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08096595108509064,0.01412384230377057
44,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,1,ldrmodules.not_in_init_avg,0.08096595108509064,0.014151838748883476
46,Benign,Benign,T1620,Reflective Code Loading,MEDIUM_CANDIDATE,2,ldrmodules.not_in_init_avg; ldrmodules.not_in_load,0.42159128934144974,0.07584286937425327
