Relative_Path,Source_Relative_Path,Size_Bytes,SHA256,Required
CHANGELOG.md,GENERATED_BY_STAGE_X_A,613,4c1d714b0f4497e1cc2f2ce8bf1ee31e4d35f499c8d1a37da4b8ba9499a4d9af,True
CITATION.cff,GENERATED_BY_STAGE_X_A,1316,8b67e72a89b7f0beecbf1dad96c9bd42b5307ed7b7416442d01ecb79a706af8b,True
README.md,GENERATED_BY_STAGE_IX_A,1018,0ded93bd3c502b62b91240e43ed4a7dde548f2a7a0c4578562f7d6f25875b597,True
VERSION,GENERATED_BY_STAGE_X_A,7,3d097c315a1c543040f548da4c7051265e94c77211a2411ced1d4621344270de,True
attack\figures\attack_alignment_pipeline.pdf,outputs\attack_alignment\stage_viii_e2_revised\attack_alignment_pipeline_revised.pdf,60695,e765b5a175116e93a9f1f7eb1ee0fa16912e1e8454cabcb7defeb23c8fd4ec5d,True
attack\figures\attack_alignment_pipeline.png,outputs\attack_alignment\stage_viii_e2_revised\attack_alignment_pipeline_revised.png,1109959,17db59b544c48ba34b273fe765aad108bd017c456f1dc1a3f8b628443927b27f,False
attack\figures\attack_candidate_support_comparison.pdf,outputs\attack_alignment\stage_viii_e2_revised\attack_candidate_support_comparison_revised.pdf,36477,4afa7c0dd957f53fb4be7172f2e63c484b6c7b1c72fc42ae549c8563c920534b,False
attack\results\attack_candidate_prevalence.csv,outputs\attack_alignment\stage_viii_d2\attack_candidate_prevalence.csv,1026,3dbf4513406edc8f604f0c64119de5709baceaaf4a2f7f11003a98f5ab2b9fe3,True
attack\results\attack_evidence_table.tex,outputs\attack_alignment\stage_viii_e1\attack_evidence_table.tex,852,ffeda3467b558fb754fe4ed2bf543de529ec16e7e1c585ced3e88872c9d5aef0,False
attack\results\attack_support_statistical_tests.csv,outputs\attack_alignment\stage_viii_d2\attack_support_statistical_tests.csv,1750,6af958a6935fef9e38e4a80feeb1758248b2df5b97d6dd4c9fe37124f4d9b35d,True
attack\results\batch_attack_candidate_support.csv,outputs\attack_alignment\stage_viii_d1\batch_attack_candidate_support.csv,529107,7e987a057d97fc3ad2d7c0c5bc34db47063a6c040cd1f4f4d09293de8be58cfb,True
attack\results\batch_attack_case_summary.csv,outputs\attack_alignment\stage_viii_d1\batch_attack_case_summary.csv,320332,2ac564a63b19f3bc16b7861adcadfc3113014ecb9b8e988e6bb018ceefe3d3ec,True
attack\results\final_attack_evidence_table.csv,outputs\attack_alignment\stage_viii_e1\final_attack_evidence_table.csv,2207,0accf0fb8ebe584bf2db5b4d193c3d1c48c2fbb7033adbe0296cd386a3df58c1,True
attack\rules\attack_evidence_rules_v2.json,outputs\attack_alignment\attack_evidence_rules_v2.json,964,e3cfaa49df71b62077ebe9415e5731da401f8b71d0e9cdd7f58e9b3d6b017f10,False
attack\rules\attack_feature_evidence_mapping_v2.csv,outputs\attack_alignment\attack_feature_evidence_mapping_v2.csv,18769,eba2d156ea6a8064c9cf9f45ce22a2813fc9a02e38c6fdee6b192cf67c2bf118,True
benchmarks\scripts\attack_evidence_rules_v2.py,attack_evidence_rules_v2.py,23724,0a5cb1c29131051a622935b51448f922f6a8a5b9d4859b3d46deaacac9060d0d,False
benchmarks\scripts\attack_feature_inventory.py,attack_feature_inventory.py,10466,7e77077a9df48fd46f707cd2f6914d5bab819b6299216d592d7d400d94eb6d19,False
benchmarks\scripts\attack_support_statistics.py,attack_support_statistics.py,29075,b64efb577469e60ce73ae49b69bd71443d8cc41b924e8d9c9e3d27276f8d315f,False
benchmarks\scripts\batch_shap_attack_analysis.py,batch_shap_attack_analysis.py,35345,bd788fb1a1543589598628a8cb96e910dd18b9129a6e6d8d297e33cec18ad283,False
benchmarks\scripts\build_attack_final_table.py,build_attack_final_table.py,16607,c188f79dff163c2c4581fbc4cc38beb292ba2dbb8135d3fe38b2b72f839afdc1,False
benchmarks\scripts\build_attack_pipeline_figure.py,build_attack_pipeline_figure.py,13281,92208ea775cf5ca77b08a9f1521611ea22e45ff75c004888bb966a5ac90c6b46,False
benchmarks\scripts\counterfactual_stability_analysis.py,counterfactual_stability_analysis.py,33679,c1b7ab967cc99ffffdbc175be7c1aee5161ee93524a147387d5c670e48c56a7e,False
benchmarks\scripts\multiscale_xai_stability.py,multiscale_xai_stability.py,36425,74abd23b03e8bb13ca47ca29affb6f0f778ec5b4a66b4b99e6cf2393ad6d46f1,False
benchmarks\scripts\run_experiments.py,run_experiments.py,10272,66a59c1f07595e9f7b8cfc6052f10e59f73d3f9966d1d4f9cdd20aa619d08ef6,False
benchmarks\scripts\shap_attack_alignment.py,shap_attack_alignment.py,26789,2e850ea456e4b0ca2ee256877a9b3aa5c1c708187e299b09948273935533ea28,False
benchmarks\scripts\shap_deep_analysis.py,shap_deep_analysis.py,29162,ad6f825bf632e0cce7f73cc5d36f9478355bbe710da07b8619da6280fa9ce572,False
benchmarks\scripts\shap_rfe.py,shap_rfe.py,4738,6cc9877f433a83f4819ed51ecb065b2f8bf773a2448bbd0fae87ae28521408ea,False
docs\BENCHMARK_PROTOCOL.md,GENERATED_BY_STAGE_X_A,1930,1f3a7dd7aeba29710c3cadd387200483a0a1f248fb2e424027e7cfa46bdc8245,True
docs\CLAIMS_AND_LIMITATIONS.md,GENERATED_BY_STAGE_X_A,2333,c1d17496e3ad96aea45eeede8185a479f74f4aa1f2b4c9dbc6861c432abb5e25,True
docs\DATASET_NOTICE.txt,GENERATED_BY_STAGE_IX_A,699,3445af2746ce7d339b8487029b6b2ca03cd725ebabd34871f0eb98b7d3bd6629,True
docs\DATA_AVAILABILITY.md,GENERATED_BY_STAGE_X_A,1116,b6c073a9eca03b101488720fcf303947821ccfa3354521a39feba97bdf6260dc,True
docs\README_EXECUTION.md,GENERATED_BY_STAGE_IX_C,2378,35ae759b6bf1fd4ccb1e83c78885ba9e53939dc0bc9ae32d14fa4af848af9544,True
