Test_Local_Index,True_Family,Original_Prediction,Target_Family,Target_Reason,Originally_Correct,Success,Features_Changed,Standardized_L1,Standardized_L2,Initial_Target_Probability,Final_Target_Probability
7958,Refroso,Shade,Refroso,true_family_for_misclassification,0,0,15,1.1799368214372739,0.40297438085082077,0.029357390478253365,0.15018834173679352
5620,Pysa,Zeus,Pysa,true_family_for_misclassification,0,1,2,0.7141097239391918,0.504952000802716,0.13719132542610168,0.18038231134414673
6398,CWS,Pysa,CWS,true_family_for_misclassification,0,0,15,9.032995495503737,2.6042310524637418,0.06179467961192131,0.07769159227609634
7240,Transponder,CWS,Transponder,true_family_for_misclassification,0,0,15,2.6935932473783946,0.7727247669365118,0.09455622732639313,0.12739549577236176
6949,TIBS,180solutions,TIBS,true_family_for_misclassification,0,1,7,0.49428478430460115,0.3619766247988069,0.0126217445358634,0.7755155563354492
6069,180solutions,Emotet,180solutions,true_family_for_misclassification,0,0,15,7.616159800843331,2.0765220872467425,0.004922398366034031,0.010739073157310486
6279,CWS,180solutions,CWS,true_family_for_misclassification,0,1,4,0.4398975423533229,0.31861298824111595,0.11765997856855392,0.19887346029281616
9008,Ako,Maze,Ako,true_family_for_misclassification,0,0,15,2.480243040661098,0.7311691884373329,0.03987763449549675,0.09649346023797989
6619,Gator,Zeus,Gator,true_family_for_misclassification,0,0,15,1.4752943053366092,0.44299747548434637,0.007711645681411028,0.014472012408077717
6055,180solutions,Reconyc,180solutions,true_family_for_misclassification,0,1,5,0.36262579716891474,0.16709023860258895,0.15359282493591309,0.18027962744235992
9021,Ako,Reconyc,Ako,true_family_for_misclassification,0,0,15,2.733968679047183,0.7844277807283132,0.0593789666891098,0.07413284480571747
6153,CWS,Conti,CWS,true_family_for_misclassification,0,1,3,0.2493985985513747,0.16906355470199544,0.10412099957466125,0.22520962357521057
5656,Pysa,Transponder,Pysa,true_family_for_misclassification,0,1,13,1.7806544856708315,0.6391444401092996,0.03723731264472008,0.1994808167219162
7247,Transponder,Scar,Transponder,true_family_for_misclassification,0,0,9,0.17674658200916205,0.08995427675428738,0.06631848961114883,0.1104889065027237
5964,180solutions,Emotet,180solutions,true_family_for_misclassification,0,0,15,0.7538128670370606,0.2129964980525306,0.11789420992136002,0.1048504114151001
7744,Reconyc,Shade,Reconyc,true_family_for_misclassification,0,0,7,1.2242229102624538,0.7868673653830696,0.08033259958028793,0.14301598072052002
5715,Shade,180solutions,Shade,true_family_for_misclassification,0,1,1,0.04389504691668526,0.04389504691668526,0.23410800099372864,0.4504258632659912
5092,Conti,Zeus,Conti,true_family_for_misclassification,0,0,9,0.05031145538639025,0.022018465463215262,0.11251469701528549,0.12068817764520645
7188,Transponder,180solutions,Transponder,true_family_for_misclassification,0,0,15,2.36873245584159,0.8116130554168448,0.21278244256973267,0.13335919380187988
9376,Shade,Conti,Shade,true_family_for_misclassification,0,1,2,0.18036295844657896,0.1292143149485249,0.19695335626602173,0.21789194643497467
9152,Shade,180solutions,Shade,true_family_for_misclassification,0,1,15,0.3557293546112922,0.1172883373144876,0.07899298518896103,0.18160897493362427
6057,180solutions,Emotet,180solutions,true_family_for_misclassification,0,1,9,0.6023559331402162,0.3717069076732824,0.06568384915590286,0.2083820104598999
7238,Transponder,Ako,Transponder,true_family_for_misclassification,0,1,10,1.3148303191685602,0.4472914780645434,0.2002045065164566,0.2694316506385803
5551,Pysa,Conti,Pysa,true_family_for_misclassification,0,0,10,0.5892556951854134,0.35211792548056436,0.14417433738708496,0.15839213132858276
8526,Zeus,Gator,Zeus,true_family_for_misclassification,0,1,3,0.055034456567618184,0.031973392614226756,0.2985272705554962,0.33937329053878784
6033,180solutions,Refroso,180solutions,true_family_for_misclassification,0,0,15,1.0423656025595558,0.6350751399758809,0.08332756161689758,0.10456312447786331
4990,Conti,Pysa,Conti,true_family_for_misclassification,0,1,11,15.89518835733001,4.907499364327651,0.06951818615198135,0.3057107925415039
6971,Transponder,CWS,Transponder,true_family_for_misclassification,0,0,9,0.18925689675452645,0.10358893840840427,0.25911736488342285,0.26094523072242737
6137,CWS,Transponder,CWS,true_family_for_misclassification,0,1,2,0.3388952893661134,0.31092269536170375,0.07368260622024536,0.1566295474767685
8246,Scar,Transponder,Scar,true_family_for_misclassification,0,0,15,1.0584857455947394,0.33504424098237384,0.04611389338970184,0.08248293399810791
4643,Benign,Benign,Ako,second_highest_probability,1,0,15,18.764070934058033,5.04502358858206,2.653750743775163e-05,0.09218335896730423
7786,Reconyc,Reconyc,Scar,second_highest_probability,1,0,15,0.5796516567793166,0.1638166790423863,0.10428161919116974,0.17812757194042206
4494,Benign,Benign,180solutions,second_highest_probability,1,0,15,35.46193649948841,9.30347449008153,1.207899367727805e-05,0.00010907966498052701
6621,Gator,Gator,Zeus,second_highest_probability,1,0,5,0.014394119616130737,0.008984593217342875,0.1809241622686386,0.1805305927991867
9040,Ako,Ako,Pysa,second_highest_probability,1,0,14,0.276912557051384,0.12264257417241257,0.22074678540229797,0.18844281136989594
2996,Benign,Benign,Transponder,second_highest_probability,1,0,15,15.005067678789278,4.290046001454686,2.9464192721206928e-06,6.0322010540403426e-05
3013,Benign,Benign,Reconyc,second_highest_probability,1,0,15,19.033984379884934,5.154626754865952,3.81118843506556e-06,0.1104130744934082
3051,Benign,Benign,Reconyc,second_highest_probability,1,0,15,14.110689774936281,3.9833320916472448,3.529396281010122e-06,0.013598881661891937
519,Benign,Benign,Transponder,second_highest_probability,1,0,15,14.086954594310804,4.140499216153598,4.716943749372149e-06,0.00013234860671218485
846,Benign,Benign,Transponder,second_highest_probability,1,0,15,12.577544017478196,3.9202488176196013,2.8512727112683933e-06,0.00020058947848156095
741,Benign,Benign,Transponder,second_highest_probability,1,0,15,12.816738722893755,3.9984512909792724,2.746712425505393e-06,0.00017942274280358106
6021,180solutions,180solutions,Zeus,second_highest_probability,1,1,2,0.35920389099293926,0.3134931715222553,0.12755464017391205,0.4187217950820923
6236,CWS,CWS,Shade,second_highest_probability,1,1,1,0.38412320663316374,0.38412320663316374,0.16817140579223633,0.22894684970378876
4739,Benign,Benign,Emotet,second_highest_probability,1,0,15,45.102404021913614,11.872629331187667,4.700512727140449e-05,0.0005496020894497633
1306,Benign,Benign,Transponder,second_highest_probability,1,0,15,12.917969097630483,3.9964554897688926,2.8512729386420688e-06,0.00020058947848156095
2293,Benign,Benign,Transponder,second_highest_probability,1,0,15,18.179477000372895,4.824636157235155,5.2946243158658035e-06,0.0014549241168424487
6821,TIBS,TIBS,Shade,second_highest_probability,1,1,9,1.396151059064971,0.5817980531570732,0.1457882970571518,0.3246119022369385
6751,TIBS,TIBS,180solutions,second_highest_probability,1,0,15,0.7155790744274014,0.384339486049697,0.003545343177393079,0.15744483470916748
333,Benign,Benign,Transponder,second_highest_probability,1,0,15,5.589747422820439,1.547708660877358,9.030054934555665e-05,0.2956774830818176
2433,Benign,Benign,Transponder,second_highest_probability,1,0,15,19.053314904698578,5.595688867165979,0.0002396645868429914,0.14073222875595093
4386,Benign,Benign,Transponder,second_highest_probability,1,0,15,13.32890476116604,4.0588839168845885,3.326855448904098e-06,0.00010763679165393114
227,Benign,Benign,Reconyc,second_highest_probability,1,0,15,13.823181244817311,3.920074794275917,3.493264784992789e-06,0.013598881661891937
5975,180solutions,180solutions,CWS,second_highest_probability,1,0,15,24.459041963220987,12.838962043206447,0.020611848682165146,0.1198076382279396
1951,Benign,Benign,Conti,second_highest_probability,1,1,8,11.658866162698645,4.189136285141327,1.0161872523895e-05,0.35719946026802063
2428,Benign,Benign,Transponder,second_highest_probability,1,0,15,13.059619629098682,4.045144995923955,2.746712425505393e-06,0.00017942274280358106
7910,Refroso,Refroso,Ako,second_highest_probability,1,0,15,4.289013651148629,1.1464851649986216,0.008442300371825695,0.05690114572644234
762,Benign,Benign,Conti,second_highest_probability,1,0,15,24.364867166296943,6.381443554315938,2.7370438147045206e-06,0.12263458222150803
2989,Benign,Benign,Transponder,second_highest_probability,1,0,15,16.30518250846307,4.615014170659014,2.802875542329275e-06,4.176067523076199e-05
2381,Benign,Benign,Reconyc,second_highest_probability,1,0,15,20.322376527506126,6.816532453650872,1.952469210664276e-05,0.018665866926312447
1163,Benign,Benign,Scar,second_highest_probability,1,0,15,27.101972808613798,7.1523992343449745,7.512812771892641e-06,0.00015135438297875226
