Case,Sample_Index,True_Family,Predicted_Family,Explained_Class,Explanation_Type,Rank,Feature,Feature_Value,SHAP_Value,Absolute_SHAP
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,1,handles.avg_handles_per_proc,288.8544921875,2.0761895179748535,2.0761895179748535
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,2,svcscan.process_services,27.0,0.8998919725418091,0.8998919725418091
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,3,svcscan.nservices,395.0,0.5469241738319397,0.5469241738319397
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,4,pslist.avg_threads,12.72026538848877,0.49064791202545166,0.49064791202545166
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,5,handles.nthread,1192.0,0.4861169159412384,0.4861169159412384
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,6,handles.ntimer,142.0,0.34987494349479675,0.34987494349479675
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,7,dlllist.avg_dlls_per_proc,49.79069900512695,0.23326902091503143,0.23326902091503143
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,8,dlllist.ndlls,2141.0,0.13218362629413605,0.13218362629413605
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,9,handles.nsection,425.0,0.12046114355325699,0.12046114355325699
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,10,malfind.commitCharge,5.0,0.11069720983505249,0.11069720983505249
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,11,pslist.nppid,13.0,0.07899127900600433,0.07899127900600433
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,12,ldrmodules.not_in_init_avg,0.05545023828744888,0.07062225788831711,0.07062225788831711
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,13,svcscan.shared_process_services,118.0,0.06862502545118332,0.06862502545118332
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,14,callbacks.ncallbacks,88.0,-0.06023111194372177,0.06023111194372177
High-confidence correct,19,Benign,Benign,Benign,Predicted_Class,15,handles.nevent,4510.0,0.05164887011051178,0.05164887011051178
High-confidence correct,19,Benign,Benign,Benign,True_Class,1,handles.avg_handles_per_proc,288.8544921875,2.0761895179748535,2.0761895179748535
High-confidence correct,19,Benign,Benign,Benign,True_Class,2,svcscan.process_services,27.0,0.8998919725418091,0.8998919725418091
High-confidence correct,19,Benign,Benign,Benign,True_Class,3,svcscan.nservices,395.0,0.5469241738319397,0.5469241738319397
