Test_Local_Index,True_Family,Predicted_Family,Correct,Mean_TopK_Jaccard,Std_TopK_Jaccard,Mean_SHAP_Rank_Spearman,Prediction_Stability
4094,Benign,Benign,1,0.8333333333333333,0.11236664374387369,0.9757709411678939,1.0
8805,Ako,Pysa,0,0.7144522144522144,0.0924279901767219,0.9005386061307112,0.2
6272,CWS,Transponder,0,0.6904262404262403,0.13160699255636518,0.9329710144927537,0.5
4358,Benign,Benign,1,0.9454545454545453,0.08331955809010616,0.9906211270686012,1.0
4196,Benign,Benign,1,0.9363636363636362,0.08672174558335867,0.9892505649923452,1.0
7265,Transponder,180solutions,0,0.49633699633699624,0.07685763830900105,0.8511314343551183,0.25
1441,Benign,Benign,1,0.9727272727272727,0.06492207662311679,0.9893015965590143,1.0
3046,Benign,Benign,1,0.9636363636363635,0.0727272727272727,0.9863126047969673,1.0
1540,Benign,Benign,1,0.8909090909090909,0.08907235428302462,0.9841765692206751,1.0
6671,Gator,Gator,1,0.7935897435897437,0.11834394611560264,0.9401939499203935,0.45
1698,Benign,Benign,1,0.9545454545454547,0.07872958216222167,0.9845520157468833,1.0
4648,Benign,Benign,1,0.9272727272727271,0.08907235428302465,0.988463220820879,1.0
4022,Benign,Benign,1,0.9363636363636363,0.08672174558335867,0.9896989137566523,1.0
7661,Reconyc,Reconyc,1,0.6981351981351981,0.0746375880959691,0.9144413084382688,0.5
3464,Benign,Benign,1,0.7772727272727271,0.11668634229994035,0.980906903841948,1.0
6479,Gator,Gator,1,0.602147852147852,0.1165333166618101,0.9159755391518308,0.6
7801,Reconyc,Reconyc,1,0.3836080586080586,0.07747756069172185,0.878831958315241,0.05
1872,Benign,Benign,1,0.9545454545454547,0.07872958216222167,0.9822774659182038,1.0
8274,Scar,Reconyc,0,0.7696969696969695,0.11868579410646148,0.9482595165725863,0.15
9044,Ako,Reconyc,0,0.5027222777222777,0.15252049633847894,0.9253256621797654,0.1
2116,Benign,Benign,1,0.990909090909091,0.03962635403218793,0.9947291681854633,1.0
8621,Zeus,Conti,0,0.6789044289044288,0.09421655077371231,0.9293163636363635,0.55
8334,Scar,Pysa,0,0.6745754245754245,0.11378172959547829,0.9353672643146324,0.15
1191,Benign,Benign,1,0.9363636363636363,0.08672174558335867,0.9814172195086389,1.0
1505,Benign,Benign,1,0.9545454545454547,0.07872958216222167,0.9830648100896697,1.0
7812,Reconyc,Pysa,0,0.8023310023310023,0.12176804558404898,0.944501879699248,0.75
7443,Emotet,Reconyc,0,0.7459207459207458,0.16204238966377235,0.9397669706180343,0.0
1772,Benign,Benign,1,0.8757575757575756,0.11047106747611019,0.9883611576875412,1.0
