Perturbation_Scale,Perturbation_Percent,Family,Samples,Mean_Jaccard_Top10,Mean_SHAP_Rank_Spearman,Mean_Prediction_Stability
0.005,0.5,180solutions,3,0.6047313797313797,0.92606021131857,0.09999999999999999
0.005,0.5,Ako,3,0.6165223665223666,0.9323813002424473,0.4666666666666666
0.005,0.5,Benign,36,0.9242003367003365,0.9852520797388481,1.0
0.005,0.5,CWS,7,0.6548380191237334,0.9286881177909853,0.2214285714285714
0.005,0.5,Conti,6,0.5710418258212376,0.9243181686187202,0.18333333333333335
0.005,0.5,Emotet,5,0.6500857475857476,0.9322661473084306,0.49000000000000005
0.005,0.5,Gator,6,0.6111471861471861,0.9110434743744262,0.5
0.005,0.5,Maze,3,0.7278554778554778,0.9533705762547218,0.48333333333333334
0.005,0.5,Pysa,4,0.565497002997003,0.9206220932863316,0.18750000000000003
0.005,0.5,Reconyc,3,0.6007270507270507,0.9083201849028164,0.23333333333333336
0.005,0.5,Refroso,2,0.6204878454878455,0.9371499406151153,0.32499999999999996
0.005,0.5,Scar,6,0.6433732933732933,0.9281326713425272,0.39999999999999997
0.005,0.5,Shade,4,0.6607057158527745,0.9238569876839549,0.42500000000000004
0.005,0.5,TIBS,4,0.8260780885780885,0.9652672101449276,0.7374999999999999
0.005,0.5,Transponder,4,0.8091200466200466,0.9589972147918668,0.6
0.005,0.5,Zeus,4,0.7125655594405595,0.9426212492814335,0.5375
0.01,1.0,180solutions,3,0.5782925407925408,0.9193455396342932,0.06666666666666667
0.01,1.0,Ako,3,0.5936230436230436,0.9175917711544632,0.19999999999999998
0.01,1.0,Benign,36,0.9098063973063972,0.984225778231392,1.0
0.01,1.0,CWS,7,0.6252223966509681,0.9157366850977736,0.21428571428571427
0.01,1.0,Conti,6,0.5424511354658413,0.9115585253958768,0.08333333333333333
0.01,1.0,Emotet,5,0.5861538461538462,0.9125727006638048,0.21000000000000002
0.01,1.0,Gator,6,0.5412441724941724,0.8960595646428691,0.3833333333333333
0.01,1.0,Maze,3,0.6746919746919747,0.939591956089811,0.3666666666666667
0.01,1.0,Pysa,4,0.5195148601398601,0.9109829333592866,0.16250000000000003
0.01,1.0,Reconyc,3,0.6115884115884115,0.8943441093993725,0.13333333333333333
0.01,1.0,Refroso,2,0.5127955377955378,0.9276767186353931,0.30000000000000004
0.01,1.0,Scar,6,0.5786068098568098,0.9056194911845372,0.275
0.01,1.0,Shade,4,0.6129776473526474,0.9132538985940328,0.325
0.01,1.0,TIBS,4,0.8125874125874125,0.9595480072463769,0.6625
0.01,1.0,Transponder,4,0.8032634032634032,0.9536772435601257,0.4875
0.01,1.0,Zeus,4,0.6818931068931068,0.9373518176652172,0.5625
0.02,2.0,180solutions,3,0.5465534465534465,0.9083731364886378,0.06666666666666667
0.02,2.0,Ako,3,0.5407148407148407,0.9043464599111358,0.03333333333333333
0.02,2.0,Benign,36,0.8984654234654234,0.9824239791661606,0.9986111111111112
0.02,2.0,CWS,7,0.5869576851719709,0.9031339044694997,0.08571428571428573
0.02,2.0,Conti,6,0.5247721233015351,0.9054323507467075,0.10833333333333332
0.02,2.0,Emotet,5,0.5701448551448551,0.9002828004503367,0.17
0.02,2.0,Gator,6,0.5066107503607503,0.8807143926728315,0.19166666666666668
0.02,2.0,Maze,3,0.6459540459540459,0.9285916520545371,0.30000000000000004
0.02,2.0,Pysa,4,0.4843081550802139,0.8978429887713241,0.0625
0.02,2.0,Reconyc,3,0.5367965367965368,0.8807099393588866,0.11666666666666665
0.02,2.0,Refroso,2,0.4447344322344322,0.9074309549705466,0.125
0.02,2.0,Scar,6,0.5239156676656677,0.9032083652027364,0.26666666666666666
0.02,2.0,Shade,4,0.548196595071595,0.8996835690358964,0.3125
0.02,2.0,TIBS,4,0.8155885780885781,0.9562110507246377,0.8125
0.02,2.0,Transponder,4,0.7574550449550448,0.9393125234729125,0.48750000000000004
0.02,2.0,Zeus,4,0.6401627171847759,0.9200143718763238,0.375
0.05,5.0,180solutions,3,0.4885472370766488,0.8794567472379021,0.016666666666666666
0.05,5.0,Ako,3,0.5038891663891664,0.8827208663765639,0.08333333333333333
0.05,5.0,Benign,36,0.8792767417767416,0.9792135468558885,1.0
0.05,5.0,CWS,7,0.520605584891299,0.876635399253278,0.07857142857142858
0.05,5.0,Conti,6,0.46512658093540454,0.878315176729957,0.06666666666666667
0.05,5.0,Emotet,5,0.5060406260406259,0.87741628956826,0.06999999999999999
0.05,5.0,Gator,6,0.4164128899423017,0.8632783460697389,0.11666666666666668
0.05,5.0,Maze,3,0.5657703407703406,0.905995665844955,0.10000000000000002
0.05,5.0,Pysa,4,0.4272483031674208,0.8760156127330927,0.05
0.05,5.0,Reconyc,3,0.47483904983904984,0.8631678780868254,0.03333333333333333
0.05,5.0,Refroso,2,0.4237637362637363,0.8776329812508112,0.1
0.05,5.0,Scar,6,0.4741106116106116,0.8725865293755578,0.17500000000000002
0.05,5.0,Shade,4,0.4732080419580419,0.8613262409263706,0.15
0.05,5.0,TIBS,4,0.7554861804861804,0.9290788043478261,0.6
0.05,5.0,Transponder,4,0.6479468448218447,0.9100203329037666,0.2875
0.05,5.0,Zeus,4,0.5573871594092181,0.9014890419730643,0.475
