Perturbation_Scale,Perturbation_Percent,Test_Local_Index,True_Family,Predicted_Family,Correct,Original_Confidence,Mean_Jaccard_Top5,Std_Jaccard_Top5,Mean_Jaccard_Top10,Std_Jaccard_Top10,Mean_SHAP_Rank_Spearman,Std_SHAP_Rank_Spearman,Prediction_Stability,Mean_Confidence_Change,Mean_Absolute_Confidence_Change
0.005,0.5,4682,Benign,Benign,1,0.9999737739562988,0.8833333333333332,0.1589898669028243,0.9727272727272727,0.06492207662311679,0.9845848217540277,0.010528493548387238,1.0,-2.129673957824707e-05,2.1344423294067384e-05
0.005,0.5,3966,Benign,Benign,1,0.9999704360961914,1.0,0.0,0.9106060606060605,0.10386250358553856,0.9923962965663046,0.0078938717118092,1.0,-4.190206527709961e-06,4.190206527709961e-06
0.005,0.5,6493,Gator,Gator,1,0.6376500725746155,0.6291666666666667,0.22212113276104015,0.6213786213786213,0.15600420555068367,0.9259769865392963,0.03654708003500732,0.85,-0.15896535124629735,0.17519748415797948
0.005,0.5,51,Benign,Benign,1,0.9998937845230103,0.8666666666666666,0.16329931618554522,0.8606060606060606,0.12654916980497638,0.9835824159801705,0.010484512873120154,1.0,-0.003928470611572266,0.003928470611572266
0.005,0.5,6307,CWS,Conti,0,0.19933195412158966,0.4809523809523809,0.18475024509110802,0.5732600732600732,0.08470572219668261,0.8723381818181817,0.029495273973585326,0.2,-0.0846032427623868,0.08707277197390795
0.005,0.5,6764,TIBS,TIBS,1,0.9861793518066406,0.5380952380952381,0.23986248895031959,0.7637529137529138,0.17503837039477682,0.9639565217391304,0.020929505808798887,0.65,-0.4511246746405959,0.45123397167772056
0.005,0.5,6007,180solutions,Emotet,0,0.3001534342765808,0.7095238095238094,0.16141382149217423,0.7077922077922078,0.09580214708368284,0.9557388913012013,0.022174847506460562,0.15,-0.1904010866302997,0.19103893381543458
0.005,0.5,5059,Conti,Zeus,0,0.19569000601768494,0.5916666666666666,0.21964527679658313,0.5046453546453546,0.1358719495167504,0.9127091272001449,0.04511234249143801,0.05,-0.12275009080767632,0.12275009080767632
0.005,0.5,6912,TIBS,Maze,0,0.5388067364692688,0.8166666666666667,0.16583123951777,0.7602564102564102,0.10121564020213925,0.960608695652174,0.013750511246725107,1.0,-0.02236498296260834,0.08276248276233673
0.005,0.5,6626,Gator,Gator,1,0.3858468234539032,0.7547619047619046,0.16854385031337707,0.6885614385614385,0.11338193734939479,0.9214828484585323,0.04099629168119236,0.05,-0.260202900134027,0.260202900134027
0.005,0.5,6774,TIBS,TIBS,1,0.9278537631034851,0.85,0.16583123951777,1.0,0.0,0.98081884057971,0.013083756249209998,1.0,-0.01952539086341858,0.02682257294654846
0.005,0.5,8647,Zeus,Gator,0,0.4742535948753357,0.6309523809523808,0.08501700510170061,0.722027972027972,0.09438940550135029,0.9223838471558835,0.02611001840259771,0.7,-0.10532435812056065,0.17720760442316533
0.005,0.5,4232,Benign,Benign,1,0.999915361404419,0.8166666666666667,0.16583123951777,0.9833333333333332,0.0726483157256779,0.9872457534446308,0.005329072574210223,1.0,-0.01984556019306183,0.019847825169563293
0.005,0.5,3301,Benign,Benign,1,0.9999709129333496,0.9,0.1527525231651947,0.9454545454545455,0.08331955809010616,0.982135306553911,0.015047108037903604,1.0,-3.3855438232421875e-05,3.3855438232421875e-05
0.005,0.5,6281,CWS,Transponder,0,0.2036837786436081,0.8833333333333334,0.1589898669028243,0.8045454545454545,0.07007473381725564,0.9600942028985507,0.027706293127175662,0.3,-0.030413950979709625,0.06652555018663406
0.005,0.5,1938,Benign,Benign,1,0.999972939491272,1.0,0.0,0.9636363636363635,0.0727272727272727,0.9931581249544361,0.007192509650413805,1.0,-7.736682891845704e-06,7.736682891845704e-06
0.005,0.5,3924,Benign,Benign,1,0.9971989393234253,0.9333333333333332,0.13333333333333336,0.8257575757575758,0.11809437324333255,0.9907960924400381,0.009529967140189048,1.0,-0.002578204870223999,0.0026980698108673095
0.005,0.5,2440,Benign,Benign,1,0.9999690055847168,0.9666666666666666,0.1,0.9636363636363636,0.07272727272727271,0.9875446526208356,0.011754573732350925,1.0,-1.798570156097412e-05,1.824796199798584e-05
0.005,0.5,5265,Maze,Maze,1,0.4403502941131592,0.6214285714285713,0.19312151192279678,0.6736596736596736,0.10848555970368391,0.9634601449275362,0.02321998387658212,0.55,-0.1338824223726988,0.1574270438402891
0.005,0.5,4958,Conti,Ako,0,0.2706075608730316,0.5238095238095237,0.11664236870396086,0.6357808857808858,0.07158824669899737,0.9539332754378348,0.020495135241906378,0.35,-0.06366863176226616,0.07901229783892631
0.005,0.5,7476,Emotet,Shade,0,0.20342783629894257,0.4738095238095239,0.20652617564001371,0.5855977355977355,0.13735189919581403,0.9101208568533796,0.028380058035399388,0.2,-0.06418536361306906,0.11080948915332556
0.005,0.5,802,Benign,Benign,1,0.9999710321426392,0.95,0.11902380714238082,0.8909090909090909,0.08907235428302462,0.9852810381278705,0.012030479655207113,1.0,-2.7430057525634765e-05,2.7430057525634765e-05
0.005,0.5,2871,Benign,Benign,1,0.9999607801437378,0.8095238095238095,0.20203050891044216,0.8939393939393939,0.1143914308374356,0.9808048407086096,0.009076199819143139,1.0,-0.0018384695053100587,0.0018384695053100587
0.005,0.5,7007,Transponder,CWS,0,0.36550164222717285,0.6476190476190474,0.11703053073756672,0.9727272727272727,0.06492207662311679,0.9820814054366686,0.008126910113008373,0.25,-0.04647713303565979,0.04647713303565979
0.005,0.5,3883,Benign,Benign,1,0.9998937845230103,0.7999999999999999,0.16329931618554525,0.8181818181818181,0.12309149097933275,0.9803054603776336,0.009202395977553488,1.0,-0.005785450339317322,0.005785450339317322
0.005,0.5,6614,Gator,Shade,0,0.14836521446704865,0.41567460317460314,0.15550733683341086,0.5600732600732601,0.11989218590995875,0.880250398031553,0.027474516692505075,0.35,0.0009802408516407014,0.06273433938622475
0.005,0.5,8622,Zeus,Shade,0,0.21795758605003357,0.4027777777777778,0.18207541027402638,0.5300990675990676,0.15427626025257216,0.9178897090751192,0.028270069116390552,0.2,-0.10813787411898375,0.10860660802572966
0.005,0.5,6057,180solutions,Emotet,0,0.2605852484703064,0.669047619047619,0.16732861743632477,0.6906759906759905,0.134489138472401,0.9437291938051816,0.022527476680239474,0.15,-0.15084929596632718,0.15084929596632718
0.005,0.5,6821,TIBS,TIBS,1,0.37889450788497925,0.5404761904761906,0.3178459958808757,0.7803030303030302,0.13948448969334828,0.9556847826086956,0.02074692825531255,0.3,-0.2325856256298721,0.23298844574019312
0.005,0.5,8376,Scar,Shade,0,0.2202632576227188,0.4821428571428571,0.1316270499255713,0.5927405927405927,0.09353160746675128,0.9136307714575189,0.0288423729283689,0.3,-0.044618145748972896,0.13301162384450435
0.005,0.5,6620,Gator,Gator,1,0.3352084159851074,0.3154761904761905,0.11119965293017502,0.5439560439560439,0.09232295356138139,0.89092126212187,0.038371712242931545,0.0,-0.27930941311642526,0.27930941311642526
0.005,0.5,7502,Emotet,Emotet,1,0.9244049787521362,0.4523809523809524,0.14136121532187992,0.6917249417249416,0.08218849448419166,0.956484295845998,0.01963557411192542,0.85,-0.38207901902496816,0.38207901902496816
0.005,0.5,1719,Benign,Benign,1,0.999895453453064,0.688095238095238,0.11613093712625902,0.8439393939393938,0.12901939974144147,0.9809834511919515,0.008810659244114123,1.0,-0.005108523368835449,0.005108523368835449
0.005,0.5,8293,Scar,CWS,0,0.3880627155303955,0.7142857142857142,0.1844277783908294,0.7553613053613054,0.12336371500625558,0.9348575766338921,0.020570546849477706,0.75,-0.0681782491505146,0.07898934558033943
0.005,0.5,7850,Refroso,CWS,0,0.2153172343969345,0.5690476190476189,0.18099936733330504,0.6777222777222777,0.18071227634768203,0.9345575477154421,0.019074474565841732,0.3,-0.04301430881023407,0.05767042934894562
0.005,0.5,3538,Benign,Benign,1,0.9999507665634155,0.6785714285714286,0.21128856368212914,0.865151515151515,0.09412249994240819,0.982875264270613,0.007652544148165869,1.0,-0.0023386240005493163,0.002338719367980957
0.005,0.5,7438,Emotet,Scar,0,0.28280285000801086,0.8166666666666667,0.16583123951777,0.7769230769230768,0.11136752434910531,0.9654400290328434,0.013964716097711343,0.45,-0.11307622827589511,0.11867224015295505
0.005,0.5,1943,Benign,Benign,1,0.9999697208404541,0.9833333333333334,0.07264831572567791,0.9909090909090909,0.03962635403218793,0.9804840708609754,0.010641332203797146,1.0,-1.0025501251220702e-05,1.016855239868164e-05
0.005,0.5,5049,Conti,Maze,0,0.20282988250255585,0.3392857142857143,0.08928571428571427,0.5833999333999333,0.11491047199253618,0.8957463768115943,0.028089382158461733,0.0,-0.1205180061981082,0.1205180061981082
0.005,0.5,7071,Transponder,Transponder,1,0.3345085084438324,0.6761904761904761,0.12918723777381463,0.759090909090909,0.092150613330515,0.9616666666666669,0.0114158151683895,0.5,-0.06029301062226296,0.06073399856686592
0.005,0.5,7512,Emotet,Emotet,1,0.8014005422592163,0.5934523809523811,0.23213598890938641,0.5190934065934065,0.11795613863933847,0.9253473729917499,0.0375416322694111,0.5,-0.5436629467643798,0.5436629467643798
0.005,0.5,8743,Zeus,Pysa,0,0.3644769489765167,0.6999999999999998,0.1,0.8272727272727274,0.03962635403218793,0.9777364083285134,0.007991043285064498,0.55,-0.04419962540268898,0.0830098457634449
